,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
31,31,0.5001113152077175,2023-03-31 15:34:45.054178,2023-03-31 15:35:07.443854,0 days 00:00:22.389676,0.1926617537108329,2048,0.0927926688151271,1e-05,0.001,55.0,COMPLETE
32,32,0.7273803619821839,2023-03-31 15:35:07.446878,2023-03-31 15:40:13.241454,0 days 00:05:05.794576,0.18295797041286593,2048,0.06927009417670817,1e-05,0.005,85.0,COMPLETE
33,33,0.5030136051413603,2023-03-31 15:40:13.247600,2023-03-31 15:40:41.966063,0 days 00:00:28.718463,0.18560075687683744,2048,0.07084256359207255,1e-05,0.005,90.0,COMPLETE
34,34,0.7515361093682034,2023-03-31 15:40:41.968204,2023-03-31 15:43:52.581243,0 days 00:03:10.613039,0.17794781426778689,8192,0.06364071952304813,1e-05,0.01,80.0,COMPLETE
35,35,0.7258168893502255,2023-03-31 15:43:52.582848,2023-03-31 15:45:29.869271,0 days 00:01:37.286423,0.16572530283585094,8192,0.08320705584272775,1e-05,0.01,75.0,COMPLETE
36,36,0.5020963546037428,2023-03-31 15:45:29.870844,2023-03-31 15:45:49.815619,0 days 00:00:19.944775,0.17535529077723594,8192,0.058834856428597086,0.1,0.01,65.0,COMPLETE
37,37,0.5015335167082542,2023-03-31 15:45:49.816825,2023-03-31 15:46:13.397809,0 days 00:00:23.580984,0.17874458221810666,8192,0.06375573836206479,0.01,0.01,80.0,COMPLETE
38,38,0.7476492750815128,2023-03-31 15:46:13.399591,2023-03-31 15:48:40.606786,0 days 00:02:27.207195,0.19351649845245994,16384,0.073505621933533,1e-05,0.01,95.0,COMPLETE
39,39,0.49864928440124745,2023-03-31 15:48:40.608745,2023-03-31 15:49:04.028879,0 days 00:00:23.420134,0.1904507534803459,16384,0.07335228822243767,0.001,0.01,95.0,COMPLETE
40,40,0.5041639502904015,2023-03-31 15:49:04.031603,2023-03-31 15:49:29.858181,0 days 00:00:25.826578,0.16942243801431536,16384,0.06488102686515795,0.01,0.01,100.0,COMPLETE
41,41,0.7287622933092528,2023-03-31 15:49:29.860268,2023-03-31 15:50:44.823129,0 days 00:01:14.962861,0.19398440538259606,16384,0.08844269455062297,1e-05,0.01,90.0,COMPLETE
42,42,0.7168937035360221,2023-03-31 15:50:44.825332,2023-03-31 15:54:31.478759,0 days 00:03:46.653427,0.1954908654313709,1024,0.0780542807730964,1e-05,0.01,70.0,COMPLETE
43,43,0.7242673886306579,2023-03-31 15:54:31.480549,2023-03-31 15:55:39.850855,0 days 00:01:08.370306,0.18896492916754132,16384,0.09478452481573821,1e-05,0.01,85.0,COMPLETE
44,44,0.6992983162571667,2023-03-31 15:55:39.852754,2023-03-31 15:56:17.693117,0 days 00:00:37.840363,0.17680435717806223,8192,0.0803098664980371,1e-05,0.1,80.0,COMPLETE
45,45,0.5012971912042292,2023-03-31 15:56:17.695117,2023-03-31 15:56:34.479867,0 days 00:00:16.784750,0.19524181469748125,1024,0.05140549746631165,0.1,0.001,60.0,COMPLETE
46,46,0.49874110916284115,2023-03-31 15:56:34.481878,2023-03-31 15:56:52.815726,0 days 00:00:18.333848,0.18307440228864183,16384,0.08658589324807187,1.0,0.01,95.0,COMPLETE
47,47,0.5025339707402984,2023-03-31 15:56:52.818055,2023-03-31 15:57:13.407494,0 days 00:00:20.589439,0.19958189579556915,8192,0.09599084120514907,0.0001,0.01,65.0,COMPLETE
48,48,0.7061538666553695,2023-03-31 15:57:13.410077,2023-03-31 15:58:09.526079,0 days 00:00:56.116002,0.18717097147564093,4096,0.09083666372213409,1e-05,0.05,85.0,COMPLETE
49,49,0.50585616393202,2023-03-31 15:58:09.528510,2023-03-31 15:58:37.482069,0 days 00:00:27.953559,0.17392707978000285,8192,0.083327130859574,0.001,0.005,70.0,COMPLETE
50,50,0.7015885859333769,2023-03-31 15:58:37.483701,2023-03-31 15:59:17.669518,0 days 00:00:40.185817,0.19484598433146552,8192,0.07357642453937786,1e-05,0.1,50.0,COMPLETE
51,51,0.7288380033371827,2023-03-31 15:59:17.671526,2023-03-31 16:00:36.555600,0 days 00:01:18.884074,0.19461772513300699,16384,0.08836533035294683,1e-05,0.01,90.0,COMPLETE
52,52,0.7308057207401908,2023-03-31 16:00:36.557078,2023-03-31 16:01:41.297794,0 days 00:01:04.740716,0.1895679029679084,16384,0.09588073305737792,1e-05,0.01,100.0,COMPLETE
53,53,0.730780265766433,2023-03-31 16:01:41.299983,2023-03-31 16:02:46.546940,0 days 00:01:05.246957,0.18914806668510556,16384,0.09598019539171275,1e-05,0.01,100.0,COMPLETE
54,54,0.7316346926803665,2023-03-31 16:02:46.550861,2023-03-31 16:03:52.056483,0 days 00:01:05.505622,0.18318292572333736,16384,0.09967596300163215,1e-05,0.01,95.0,COMPLETE
55,55,0.5052746173613266,2023-03-31 16:03:52.058592,2023-03-31 16:04:12.250969,0 days 00:00:20.192377,0.18088141550374534,16384,0.09959437271203093,0.01,0.005,75.0,COMPLETE
56,56,0.7025075473958744,2023-03-31 16:04:12.253174,2023-03-31 16:06:48.652949,0 days 00:02:36.399775,0.18496066115761625,1024,0.09082820881396655,1e-05,0.01,95.0,COMPLETE
57,57,0.7357375059217225,2023-03-31 16:06:48.655092,2023-03-31 16:10:59.826811,0 days 00:04:11.171719,0.18380501090557058,8192,0.0917581096441775,1e-05,0.005,60.0,COMPLETE
58,58,0.500102758020134,2023-03-31 16:10:59.828709,2023-03-31 16:11:22.758638,0 days 00:00:22.929929,0.19753245959663923,8192,0.08140897663242655,1e-05,0.005,55.0,COMPLETE
59,59,0.5038114395303116,2023-03-31 16:11:22.760023,2023-03-31 16:12:06.707862,0 days 00:00:43.947839,0.17744215999168855,8192,0.08519940728480317,1.0,0.005,5.0,COMPLETE
60,60,0.501372407819366,2023-03-31 16:12:06.710190,2023-03-31 16:12:28.622543,0 days 00:00:21.912353,0.19168632020701398,8192,0.09289991386839484,0.0001,0.005,60.0,COMPLETE
61,61,0.7325890017227258,2023-03-31 16:12:28.624765,2023-03-31 16:16:40.769077,0 days 00:04:12.144312,0.18483944885964018,8192,0.09743613580065924,1e-05,0.005,60.0,COMPLETE
62,62,0.7307173267994987,2023-03-31 16:16:40.770713,2023-03-31 16:21:42.799391,0 days 00:05:02.028678,0.18600840248000886,8192,0.09657455683334065,1e-05,0.005,45.0,COMPLETE
63,63,0.5001024760699665,2023-03-31 16:21:42.802095,2023-03-31 16:22:05.131656,0 days 00:00:22.329561,0.18080712917175978,8192,0.09088245034641312,1e-05,0.005,55.0,COMPLETE
64,64,0.7344575444359103,2023-03-31 16:22:05.133651,2023-03-31 16:26:37.682924,0 days 00:04:32.549273,0.18898069095964753,8192,0.09369717653891403,1e-05,0.005,60.0,COMPLETE
65,65,0.7356170516838033,2023-03-31 16:26:37.684510,2023-03-31 16:30:29.199055,0 days 00:03:51.514545,0.18834510294684703,8192,0.09387300974507394,1e-05,0.005,65.0,COMPLETE
66,66,0.5055038928295725,2023-03-31 16:30:29.200419,2023-03-31 16:30:52.213855,0 days 00:00:23.013436,0.1917326836308374,8192,0.08842223446091893,1e-05,0.005,70.0,COMPLETE
67,67,0.5024731810025955,2023-03-31 16:30:52.216863,2023-03-31 16:31:19.807368,0 days 00:00:27.590505,0.18745085980363288,4096,0.09322271916874249,0.1,0.001,65.0,COMPLETE
68,68,0.7216594405743679,2023-03-31 16:31:19.810628,2023-03-31 16:33:46.733898,0 days 00:02:26.923270,0.17100965164372023,8192,0.0856281898793337,1e-05,0.005,75.0,COMPLETE
69,69,0.7294619616210252,2023-03-31 16:33:46.736745,2023-03-31 16:35:16.203158,0 days 00:01:29.466413,0.199902658086372,8192,0.077358812491233,1e-05,0.05,50.0,COMPLETE
70,70,0.49964345863410664,2023-03-31 16:35:16.206506,2023-03-31 16:35:46.540342,0 days 00:00:30.333836,0.1804834189501651,8192,0.08133649095314767,0.001,0.005,25.0,COMPLETE
71,71,0.7341022910696458,2023-03-31 16:35:46.542567,2023-03-31 16:39:33.844481,0 days 00:03:47.301914,0.18391139597318185,8192,0.09473766830801209,1e-05,0.005,60.0,COMPLETE
72,72,0.7347842913586498,2023-03-31 16:39:33.846848,2023-03-31 16:44:20.672004,0 days 00:04:46.825156,0.18917148434696887,8192,0.09308883223695501,1e-05,0.005,60.0,COMPLETE
73,73,0.7370136316036651,2023-03-31 16:44:20.673760,2023-03-31 16:50:13.315763,0 days 00:05:52.642003,0.18903829501768393,8192,0.09130895621221671,1e-05,0.005,65.0,COMPLETE
74,74,0.7374757504913674,2023-03-31 16:50:13.337069,2023-03-31 16:55:08.714272,0 days 00:04:55.377203,0.1890345562695127,8192,0.09047641158446385,1e-05,0.005,65.0,COMPLETE
75,75,0.7383339824509705,2023-03-31 16:55:08.717602,2023-03-31 17:00:20.531980,0 days 00:05:11.814378,0.17529287680376185,8192,0.08999665630714236,1e-05,0.005,65.0,COMPLETE
76,76,0.7383624619810705,2023-03-31 17:00:20.535849,2023-03-31 17:04:48.986384,0 days 00:04:28.450535,0.17713488155284748,8192,0.08979017507225415,1e-05,0.005,65.0,COMPLETE
77,77,0.5020534417882506,2023-03-31 17:04:48.990053,2023-03-31 17:05:27.243639,0 days 00:00:38.253586,0.17502745351066773,8192,0.0839637178019849,0.01,0.1,80.0,COMPLETE
